"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Household and dwelling characteristics","    Semi-detached house",,  698800,,,...,,...,  698800,,,...,,...
"Household and dwelling characteristics","    Row house",,  891305,,,...,,...,  891305,,,...,,...
"Household and dwelling characteristics","    Apartment or flat in a duplex",,  784300,,,...,,...,  784300,,,...,,...
"Household and dwelling characteristics","    Apartment in a building that has fewer than five storeys",, 2539390,,,...,,..., 2539390,,,...,,...
"Household and dwelling characteristics","    Other single-attached house",,   36005,,,...,,...,   36005,,,...,,...
"Household and dwelling characteristics","  Movable dwelling",7,  189755,,,...,,...,  189755,,,...,,...
"Household and dwelling characteristics","Total - Private households by household size - 100% data",8,14072080,,,...,,...,14072080,,,...,,...
"Household and dwelling characteristics","  1 person",, 3969790,,,...,,..., 3969790,,,...,,...
"Household and dwelling characteristics","  2 persons",, 4834605,,,...,,..., 4834605,,,...,,...
"Household and dwelling characteristics","  3 persons",, 2140640,,,...,,..., 2140640,,,...,,...
"Household and dwelling characteristics","  4 persons",, 1946275,,,...,,..., 1946275,,,...,,...
"Household and dwelling characteristics","  5 or more persons",, 1180770,,,...,,..., 1180770,,,...,,...
"Household and dwelling characteristics","Number of persons in private households",,34460060,,,...,,...,34460060,,,...,,...
"Household and dwelling characteristics","Average household size",,    2.4,,,...,,...,    2.4,,,...,,...
"Marital status","Total - Marital status for the population aged 15 years and over - 100% data",9,29312160,,14271280,,15040885,,29312160,,14271280,,15040885,
"Marital status","  Married or living common law",,16893720,, 8452135,, 8441585,,16893720,, 8452135,, 8441585,
"Marital status","    Married",,13383455,, 6693465,, 6689990,,13383455,, 6693465,, 6689990,
"Marital status","    Living common law",, 3510265,, 1758670,, 1751590,, 3510265,, 1758670,, 1751590,
"Marital status","  Not married and not living common law",,12418440,, 5819140,, 6599300,,12418440,, 5819140,, 6599300,
"Marital status","    Never married",, 8254340,, 4444425,, 3809915,, 8254340,, 4444425,, 3809915,
"Marital status","    Separated",,  718295,,  309905,,  408400,,  718295,,  309905,,  408400,
"Marital status","    Divorced",, 1816005,,  725535,, 1090470,, 1816005,,  725535,, 1090470,
"Marital status","    Widowed",, 1629800,,  339280,, 1290525,, 1629800,,  339280,, 1290525,
"Family characteristics","Total - Census families in private households by family size - 100% data",10, 9840730,,,...,,..., 9840730,,,...,,...
"Family characteristics","  2 persons",, 5007790,,,...,,..., 5007790,,,...,,...
"Family characteristics","  3 persons",, 2107830,,,...,,..., 2107830,,,...,,...
"Family characteristics","  4 persons",, 1909935,,,...,,..., 1909935,,,...,,...
"Family characteristics","  5 or more persons",,  815170,,,...,,...,  815170,,,...,,...
"Family characteristics","Average size of census families",,    2.9,,,...,,...,    2.9,,,...,,...
"Family characteristics","Total number of census families in private households - 100% data",11, 9840730,,,...,,..., 9840730,,,...,,...
"Family characteristics","  Total couple families",, 8227925,,,...,,..., 8227925,,,...,,...
"Family characteristics","    Married couples",, 6474005,,,...,,..., 6474005,,,...,,...
"Family characteristics","    Common-law couples",, 1753920,,,...,,..., 1753920,,,...,,...
"Family characteristics","  Total lone-parent families by sex of parent",, 1612805,,,...,,..., 1612805,,,...,,...
"Family characteristics","    Female parent",, 1262340,,,...,,..., 1262340,,,...,,...
"Family characteristics","    Male parent",,  350465,,,...,,...,  350465,,,...,,...
"Family characteristics","Total - Couple census families in private households - 100% data",, 8227925,,,...,,..., 8227925,,,...,,...
"Family characteristics","  Couples without children",, 4024305,,,...,,..., 4024305,,,...,,...
"Family characteristics","  Couples with children",, 4203615,,,...,,..., 4203615,,,...,,...
"Family characteristics","    1 child",, 1650165,,,...,,..., 1650165,,,...,,...
"Family characteristics","    2 children",, 1783080,,,...,,..., 1783080,,,...,,...
"Family characteristics","    3 or more children",,  770375,,,...,,...,  770375,,,...,,...
"Family characteristics","Total - Lone-parent census families in private households - 100% data",, 1612805,,,...,,..., 1612805,,,...,,...
"Family characteristics","  1 child",,  983485,,,...,,...,  983485,,,...,,...
"Family characteristics","  2 children",,  457670,,,...,,...,  457670,,,...,,...
"Family characteristics","  3 or more children",,  171655,,,...,,...,  171655,,,...,,...
"Family characteristics","Total - Persons not in census families in private households - 100% data",, 6107260,, 2941395,, 3165865,, 6107260,, 2941395,, 3165865,
"Household type","Total - Private households by household type - 100% data",12,14072075,,,...,,...,14072075,,,...,,...
"Household type","  One-census-family households",, 9218225,,,...,,..., 9218225,,,...,,...
"Household type","    Without children in a census family",13, 3782095,,,...,,..., 3782095,,,...,,...
"Household type","    With children in a census family",14, 5436135,,,...,,..., 5436135,,,...,,...
"Household type","  Multiple-census-family households",,  301715,,,...,,...,  301715,,,...,,...
"Household type","  Non-census-family households",, 4552135,,,...,,..., 4552135,,,...,,...
"Household type","    One-person households",, 3969790,,,...,,..., 3969790,,,...,,...
"Household type","    Two-or-more person non-census-family households",,  582350,,,...,,...,  582350,,,...,,...
"Knowledge of official languages","Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",15,34767255,,17101170,,17666080,,34767255,,17101170,,17666080,
"Knowledge of official languages","  English only",,23757525,,11838075,,11919455,,23757525,,11838075,,11919455,
"Knowledge of official languages","  French only",, 4144685,, 1925845,, 2218840,, 4144685,, 1925845,, 2218840,
"Knowledge of official languages","  English and French",, 6216065,, 3071325,, 3144740,, 6216065,, 3071325,, 3144740,
"Knowledge of official languages","  Neither English nor French",,  648970,,  265920,,  383045,,  648970,,  265920,,  383045,
"First official language spoken","Total - First official language spoken for the total population excluding institutional residents - 100% data",16,34767250,,17101165,,17666085,,34767250,,17101165,,17666085,
"First official language spoken","  English",,26007500,,12852330,,13155165,,26007500,,12852330,,13155165,
"First official language spoken","  French",, 7705755,, 3780105,, 3925650,, 7705755,, 3780105,, 3925650,
"First official language spoken","  English and French",,  417485,,  209130,,  208355,,  417485,,  209130,,  208355,
"First official language spoken","  Neither English nor French",,  636515,,  259600,,  376910,,  636515,,  259600,,  376910,
"First official language spoken","Official language minority (number)",17, 7914495,, 3884670,, 4029825,, 7914495,, 3884670,, 4029825,
"First official language spoken","Official language minority (percentage)",17,   22.8,,   22.7,,   22.8,,   22.8,,   22.7,,   22.8,
"Mother tongue","Total - Mother tongue for the total population excluding institutional residents - 100% data",18,34767255,,17101170,,17666085,,34767255,,17101170,,17666085,
"Mother tongue","  Single responses",,33948620,,16702840,,17245775,,33948620,,16702840,,17245775,
"Mother tongue","    Official languages",,26627555,,13201620,,13425940,,26627555,,13201620,,13425940,
"Mother tongue","      English",,19460850,, 9680125,, 9780725,,19460850,, 9680125,, 9780725,
"Mother tongue","      French",, 7166705,, 3521495,, 3645215,, 7166705,, 3521495,, 3645215,
"Mother tongue","    Non-official languages",, 7321065,, 3501220,, 3819840,, 7321065,, 3501220,, 3819840,
"Mother tongue","      Aboriginal languages",,  195700,,   94795,,  100900,,  195700,,   94795,,  100900,
"Mother tongue","        Algonquian languages",,  130450,,   62930,,   67520,,  130450,,   62930,,   67520,
"Mother tongue","          Blackfoot",,    2815,,    1325,,    1490,,    2815,,    1325,,    1490,
"Mother tongue","          Cree-Montagnais languages",,   88445,,   42920,,   45530,,   88445,,   42920,,   45530,
"Mother tongue","            Atikamekw",,    6150,,    3135,,    3015,,    6150,,    3135,,    3015,
"Mother tongue","            Montagnais (Innu)",,   10230,,    4885,,    5350,,   10230,,    4885,,    5350,
"Mother tongue","            Moose Cree",,     100,,      50,,      55,,     100,,      50,,      55,
"Mother tongue","            Naskapi",,    1205,,     590,,     620,,    1205,,     590,,     620,
"Mother tongue","            Northern East Cree",,     315,,     125,,     190,,     315,,     125,,     190,
"Mother tongue","            Plains Cree",,    3065,,    1360,,    1710,,    3065,,    1360,,    1710,
"Mother tongue","            Southern East Cree",,      45,,      20,,      25,,      45,,      20,,      25,
"Mother tongue","            Swampy Cree",,    1440,,     585,,     850,,    1440,,     585,,     850,
"Mother tongue","            Woods Cree",,    1840,,     865,,     975,,    1840,,     865,,     975,
"Mother tongue","            Cree; n.o.s.",,   64050,,   31305,,   32745,,   64050,,   31305,,   32745,
"Mother tongue","          Eastern Algonquian languages",,    6990,,    3310,,    3680,,    6990,,    3310,,    3680,
"Mother tongue","            Malecite",,     305,,     140,,     160,,     305,,     140,,     160,
"Mother tongue","            Mi'kmaq",,    6690,,    3170,,    3520,,    6690,,    3170,,    3520,
"Mother tongue","          Ojibway-Potawatomi languages",,   32150,,   15350,,   16800,,   32150,,   15350,,   16800,
"Mother tongue","            Algonquin",,    1260,,     590,,     670,,    1260,,     590,,     670,
"Mother tongue","            Ojibway",,   17890,,    8440,,    9450,,   17890,,    8440,,    9450,
"Mother tongue","            Oji-Cree",,   12855,,    6260,,    6595,,   12855,,    6260,,    6595,
"Mother tongue","            Ottawa (Odawa)",,     150,,      65,,      85,,     150,,      65,,      85,
"Mother tongue","          Algonquian languages; n.i.e.",,      45,,      25,,      20,,      45,,      25,,      20,
"Mother tongue","        Athabaskan languages",,   17365,,    8325,,    9045,,   17365,,    8325,,    9045,
"Mother tongue","          Northern Athabaskan languages",,   17315,,    8310,,    9010,,   17315,,    8310,,    9010,
"Mother tongue","            Babine (Wetsuwet'en)",,     110,,      55,,      60,,     110,,      55,,      60,
"Mother tongue","            Beaver",,     190,,      85,,     105,,     190,,      85,,     105,
"Mother tongue","            Carrier",,    1025,,     465,,     565,,    1025,,     465,,     565,
"Mother tongue","            Chilcotin",,     660,,     295,,     360,,     660,,     295,,     360,
"Mother tongue","            Dene",,   10700,,    5185,,    5515,,   10700,,    5185,,    5515,
"Mother tongue","            Dogrib (Tlicho)",,    1645,,     840,,     815,,    1645,,     840,,     815,
"Mother tongue","            Gwich'in",,     260,,     110,,     145,,     260,,     110,,     145,
"Mother tongue","            Sarsi (Sarcee)",,      80,,      25,,      50,,      80,,      25,,      50,
"Mother tongue","            Sekani",,      90,,      45,,      45,,      90,,      45,,      45,
"Mother tongue","            Slavey-Hare languages",,    1995,,     950,,    1045,,    1995,,     950,,    1045,
"Mother tongue","              North Slavey (Hare)",,     765,,     365,,     400,,     765,,     365,,     400,
"Mother tongue","              South Slavey",,     945,,     455,,     495,,     945,,     455,,     495,
"Mother tongue","              Slavey; n.o.s.",,     280,,     130,,     150,,     280,,     130,,     150,
"Mother tongue","            Tahltan languages",,     270,,     135,,     140,,     270,,     135,,     140,
"Mother tongue","              Kaska (Nahani)",,     180,,      90,,      90,,     180,,      90,,      90,
"Mother tongue","              Tahltan",,      95,,      40,,      50,,      95,,      40,,      50,
"Mother tongue","            Tutchone languages",,     290,,     120,,     170,,     290,,     120,,     170,
"Mother tongue","              Northern Tutchone",,     215,,      90,,     135,,     215,,      90,,     135,
"Mother tongue","              Southern Tutchone",,      70,,      30,,      40,,      70,,      30,,      40,
"Mother tongue","          Athabaskan languages; n.i.e.",,      50,,      20,,      35,,      50,,      20,,      35,
"Mother tongue","        Haida",,      75,,      35,,      40,,      75,,      35,,      40,
"Mother tongue","        Inuit languages",,   36545,,   18100,,   18445,,   36545,,   18100,,   18445,
"Mother tongue","          Inuinnaqtun (Inuvialuktun)",,    1025,,     445,,     575,,    1025,,     445,,     575,
"Mother tongue","          Inuktitut",,   35215,,   17530,,   17680,,   35215,,   17530,,   17680,
"Mother tongue","          Inuit languages; n.i.e.",,     315,,     125,,     185,,     315,,     125,,     185,
"Mother tongue","        Iroquoian languages",,    1115,,     485,,     635,,    1115,,     485,,     635,
"Mother tongue","          Cayuga",,      45,,      20,,      20,,      45,,      20,,      20,
"Mother tongue","          Mohawk",,     980,,     430,,     555,,     980,,     430,,     555,
"Mother tongue","          Oneida",,      55,,      20,,      40,,      55,,      20,,      40,
"Mother tongue","          Iroquoian languages; n.i.e.",,      35,,      15,,      20,,      35,,      15,,      20,
"Mother tongue","        Kutenai",,     105,,      55,,      55,,     105,,      55,,      55,
"Mother tongue","        Michif",,     465,,     230,,     235,,     465,,     230,,     235,
"Mother tongue","        Salish languages",,    2305,,    1130,,    1180,,    2305,,    1130,,    1180,
"Mother tongue","          Comox",,      80,,      45,,      40,,      80,,      45,,      40,
"Mother tongue","          Halkomelem",,     475,,     225,,     245,,     475,,     225,,     245,
"Mother tongue","          Lillooet",,     315,,     155,,     155,,     315,,     155,,     155,
"Mother tongue","          Okanagan",,     270,,     135,,     135,,     270,,     135,,     135,
"Mother tongue","          Shuswap (Secwepemctsin)",,     445,,     225,,     220,,     445,,     225,,     220,
"Mother tongue","          Squamish",,      40,,      20,,      20,,      40,,      20,,      20,
"Mother tongue","          Straits",,      80,,      40,,      40,,      80,,      40,,      40,
"Mother tongue","          Thompson (Ntlakapamux)",,     335,,     150,,     185,,     335,,     150,,     185,
"Mother tongue","          Salish languages; n.i.e.",,     255,,     135,,     125,,     255,,     135,,     125,
"Mother tongue","        Siouan languages",,    4285,,    2070,,    2220,,    4285,,    2070,,    2220,
"Mother tongue","          Dakota",,    1215,,     570,,     635,,    1215,,     570,,     635,
"Mother tongue","          Stoney",,    3025,,    1465,,    1555,,    3025,,    1465,,    1555,
"Mother tongue","          Siouan languages; n.i.e.",,      55,,      30,,      25,,      55,,      30,,      25,
"Mother tongue","        Tlingit",,      95,,      40,,      55,,      95,,      40,,      55,
"Mother tongue","        Tsimshian languages",,    1480,,     730,,     755,,    1480,,     730,,     755,
"Mother tongue","          Gitxsan (Gitksan)",,     880,,     435,,     445,,     880,,     435,,     445,
"Mother tongue","          Nisga'a",,     400,,     200,,     200,,     400,,     200,,     200,
"Mother tongue","          Tsimshian",,     200,,      90,,     110,,     200,,      90,,     110,
"Mother tongue","        Wakashan languages",,     805,,     370,,     435,,     805,,     370,,     435,
"Mother tongue","          Haisla",,      90,,      40,,      50,,      90,,      40,,      50,
"Mother tongue","          Heiltsuk",,      95,,      40,,      55,,      95,,      40,,      55,
"Mother tongue","          Kwakiutl (Kwak'wala)",,     325,,     145,,     185,,     325,,     145,,     185,
"Mother tongue","          Nuu-chah-nulth (Nootka)",,     285,,     135,,     140,,     285,,     135,,     140,
"Mother tongue","          Wakashan languages; n.i.e.",,      10,,       5,,       0,,      10,,       5,,       0,
"Mother tongue","        Aboriginal languages; n.o.s.",,     585,,     295,,     295,,     585,,     295,,     295,
"Mother tongue","      Non-Aboriginal languages",, 7125365,, 3406425,, 3718945,, 7125365,, 3406425,, 3718945,
"Mother tongue","        Afro-Asiatic languages",,  575365,,  298060,,  277300,,  575365,,  298060,,  277300,
"Mother tongue","          Berber languages",,   22135,,   11865,,   10270,,   22135,,   11865,,   10270,
"Mother tongue","            Kabyle",,   13150,,    6995,,    6155,,   13150,,    6995,,    6155,
"Mother tongue","            Berber languages; n.i.e.",,    8985,,    4865,,    4115,,    8985,,    4865,,    4115,
"Mother tongue","          Cushitic languages",,   42885,,   20095,,   22790,,   42885,,   20095,,   22790,
"Mother tongue","            Bilen",,     805,,     455,,     350,,     805,,     455,,     350,
"Mother tongue","            Oromo",,    4960,,    2560,,    2400,,    4960,,    2560,,    2400,
"Mother tongue","            Somali",,   36755,,   16895,,   19865,,   36755,,   16895,,   19865,
"Mother tongue","            Cushitic languages; n.i.e.",,     365,,     195,,     170,,     365,,     195,,     170,
"Mother tongue","          Semitic languages",,  509190,,  265465,,  243725,,  509190,,  265465,,  243725,
"Mother tongue","            Amharic",,   22465,,   10720,,   11745,,   22465,,   10720,,   11745,
"Mother tongue","            Arabic",,  419890,,  220785,,  199105,,  419890,,  220785,,  199105,
"Mother tongue","            Assyrian Neo-Aramaic",,   16070,,    7910,,    8160,,   16070,,    7910,,    8160,
"Mother tongue","            Chaldean Neo-Aramaic",,    5545,,    2780,,    2770,,    5545,,    2780,,    2770,
"Mother tongue","            Harari",,    1320,,     635,,     685,,    1320,,     635,,     685,
"Mother tongue","            Hebrew",,   19530,,   10480,,    9045,,   19530,,   10480,,    9045,
"Mother tongue","            Maltese",,    5565,,    2765,,    2800,,    5565,,    2765,,    2800,
"Mother tongue","            Tigrigna",,   16650,,    8310,,    8340,,   16650,,    8310,,    8340,
"Mother tongue","            Semitic languages; n.i.e.",,    2155,,    1085,,    1070,,    2155,,    1085,,    1070,
"Mother tongue","          Afro-Asiatic languages; n.i.e.",,    1155,,     635,,     520,,    1155,,     635,,     520,
"Mother tongue","        Austro-Asiatic languages",,  176725,,   81810,,   94920,,  176725,,   81810,,   94920,
"Mother tongue","          Khmer (Cambodian)",,   20130,,    9270,,   10860,,   20130,,    9270,,   10860,
"Mother tongue","          Vietnamese",,  156425,,   72470,,   83955,,  156425,,   72470,,   83955,
"Mother tongue","          Austro-Asiatic languages; n.i.e",,     170,,      65,,     100,,     170,,      65,,     100,
"Mother tongue","        Austronesian languages",,  511480,,  211580,,  299900,,  511480,,  211580,,  299900,
"Mother tongue","          Bikol",,    1790,,     790,,    1000,,    1790,,     790,,    1000,
"Mother tongue","          Cebuano",,   19890,,    7930,,   11960,,   19890,,    7930,,   11960,
"Mother tongue","          Fijian",,     745,,     400,,     345,,     745,,     400,,     345,
"Mother tongue","          Hiligaynon",,    6885,,    2680,,    4205,,    6885,,    2680,,    4205,
"Mother tongue","          Ilocano",,   26345,,   10620,,   15720,,   26345,,   10620,,   15720,
"Mother tongue","          Malagasy",,    1430,,     665,,     760,,    1430,,     665,,     760,
"Mother tongue","          Malay",,   12275,,    5255,,    7020,,   12275,,    5255,,    7020,
"Mother tongue","          Pampangan (Kapampangan; Pampango)",,    4040,,    1865,,    2175,,    4040,,    1865,,    2175,
"Mother tongue","          Pangasinan",,    1390,,     590,,     800,,    1390,,     590,,     800,
"Mother tongue","          Tagalog (Pilipino; Filipino)",,  431380,,  178575,,  252810,,  431380,,  178575,,  252810,
"Mother tongue","          Waray-Waray",,    1110,,     430,,     675,,    1110,,     430,,     675,
"Mother tongue","          Austronesian languages; n.i.e.",,    4195,,    1770,,    2425,,    4195,,    1770,,    2425,
"Mother tongue","        Creole languages",,   72125,,   32310,,   39820,,   72125,,   32310,,   39820,
"Mother tongue","          Haitian Creole",,    3030,,    1445,,    1590,,    3030,,    1445,,    1590,
"Mother tongue","          Creole; n.o.s.",,   64105,,   28455,,   35660,,   64105,,   28455,,   35660,
"Mother tongue","          Creole languages; n.i.e.",,    4985,,    2410,,    2575,,    4985,,    2410,,    2575,
"Mother tongue","        Dravidian languages",,  189405,,   94765,,   94640,,  189405,,   94765,,   94640,
"Mother tongue","          Kannada",,    3970,,    2040,,    1935,,    3970,,    2040,,    1935,
"Mother tongue","          Malayalam",,   28570,,   14770,,   13800,,   28570,,   14770,,   13800,
"Mother tongue","          Tamil",,  140720,,   69080,,   71640,,  140720,,   69080,,   71640,
"Mother tongue","          Telugu",,   15655,,    8640,,    7020,,   15655,,    8640,,    7020,
"Mother tongue","          Dravidian languages; n.i.e.",,     490,,     240,,     250,,     490,,     240,,     250,
"Mother tongue","        Hmong-Mien languages",,     795,,     395,,     405,,     795,,     395,,     405,
"Mother tongue","        Indo-European languages",, 3877330,, 1889400,, 1987930,, 3877330,, 1889400,, 1987930,
"Mother tongue","          Albanian",,   26890,,   13610,,   13285,,   26890,,   13610,,   13285,
"Mother tongue","          Armenian",,   33455,,   16270,,   17185,,   33455,,   16270,,   17185,
"Mother tongue","          Balto-Slavic languages",,  701975,,  323640,,  378340,,  701975,,  323640,,  378340,
"Mother tongue","            Baltic languages",,   12530,,    5315,,    7215,,   12530,,    5315,,    7215,
"Mother tongue","              Latvian",,    5455,,    2350,,    3105,,    5455,,    2350,,    3105,
"Mother tongue","              Lithuanian",,    7075,,    2965,,    4115,,    7075,,    2965,,    4115,
"Mother tongue","            Slavic languages",,  689450,,  318325,,  371115,,  689450,,  318325,,  371115,
"Mother tongue","              Belarusan",,     810,,     385,,     430,,     810,,     385,,     430,
"Mother tongue","              Bosnian",,   12210,,    6035,,    6180,,   12210,,    6035,,    6180,
"Mother tongue","              Bulgarian",,   20025,,    9675,,   10345,,   20025,,    9675,,   10345,
"Mother tongue","              Croatian",,   48200,,   23540,,   24665,,   48200,,   23540,,   24665,
"Mother tongue","              Czech",,   22290,,   10525,,   11765,,   22290,,   10525,,   11765,
"Mother tongue","              Macedonian",,   16775,,    8050,,    8725,,   16775,,    8050,,    8725,
"Mother tongue","              Polish",,  181710,,   82435,,   99275,,  181710,,   82435,,   99275,
"Mother tongue","              Russian",,  188255,,   85400,,  102855,,  188255,,   85400,,  102855,
"Mother tongue","              Serbian",,   57350,,   28535,,   28815,,   57350,,   28535,,   28815,
"Mother tongue","              Serbo-Croatian",,    9555,,    4565,,    4985,,    9555,,    4565,,    4985,
"Mother tongue","              Slovak",,   17580,,    8075,,    9510,,   17580,,    8075,,    9510,
"Mother tongue","              Slovene (Slovenian)",,    9790,,    4415,,    5370,,    9790,,    4415,,    5370,
"Mother tongue","              Ukrainian",,  102485,,   45440,,   57040,,  102485,,   45440,,   57040,
"Mother tongue","              Slavic languages; n.i.e.",,    2415,,    1255,,    1165,,    2415,,    1255,,    1165,
"Mother tongue","          Celtic languages",,    2690,,    1335,,    1360,,    2690,,    1335,,    1360,
"Mother tongue","            Scottish Gaelic",,    1090,,     540,,     550,,    1090,,     540,,     550,
"Mother tongue","            Welsh",,    1075,,     495,,     575,,    1075,,     495,,     575,
"Mother tongue","            Celtic languages; n.i.e.",,     530,,     295,,     235,,     530,,     295,,     235,
"Mother tongue","          Germanic languages",,  538765,,  258410,,  280350,,  538765,,  258410,,  280350,
"Mother tongue","            Afrikaans",,   10265,,    5115,,    5145,,   10265,,    5115,,    5145,
"Mother tongue","            Danish",,   12630,,    6245,,    6390,,   12630,,    6245,,    6390,
"Mother tongue","            Dutch",,   99020,,   48200,,   50820,,   99020,,   48200,,   50820,
"Mother tongue","            Frisian",,    2100,,    1095,,    1005,,    2100,,    1095,,    1005,
"Mother tongue","            German",,  384035,,  183215,,  200820,,  384035,,  183215,,  200820,
"Mother tongue","            Icelandic",,    1285,,     600,,     685,,    1285,,     600,,     685,
"Mother tongue","            Norwegian",,    4615,,    2170,,    2445,,    4615,,    2170,,    2445,
"Mother tongue","            Swedish",,    6840,,    3015,,    3825,,    6840,,    3015,,    3825,
"Mother tongue","            Vlaams (Flemish)",,    3895,,    1730,,    2165,,    3895,,    1730,,    2165,
"Mother tongue","            Yiddish",,   13555,,    6750,,    6800,,   13555,,    6750,,    6800,
"Mother tongue","            Germanic languages; n.i.e.",,     525,,     280,,     240,,     525,,     280,,     240,
"Mother tongue","          Greek",,  106525,,   53350,,   53170,,  106525,,   53350,,   53170,
"Mother tongue","          Indo-Iranian languages",, 1312750,,  664120,,  648630,, 1312750,,  664120,,  648630,
"Mother tongue","            Indo-Aryan languages",, 1064760,,  538530,,  526235,, 1064760,,  538530,,  526235,
"Mother tongue","              Bengali",,   73125,,   37410,,   35720,,   73125,,   37410,,   35720,
"Mother tongue","              Gujarati",,  108780,,   55105,,   53670,,  108780,,   55105,,   53670,
"Mother tongue","              Hindi",,  110640,,   55880,,   54765,,  110640,,   55880,,   54765,
"Mother tongue","              Kashmiri",,     565,,     300,,     265,,     565,,     300,,     265,
"Mother tongue","              Konkani",,    3330,,    1625,,    1710,,    3330,,    1625,,    1710,
